epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,6667.04,1.02891,0.83433,1.16822,0,0,0,0,5.80431,9.22682,5.67232,0.0012582,0.0012582,0.0012582
79,6732.57,0.9753,0.82686,1.17035,0,0,0,0,5.8735,9.14384,5.83494,0.00115629,0.00115629,0.00115629
80,6796.59,1.02487,0.82316,1.17529,0,0,0,0,5.91119,9.09731,5.92508,0.00105818,0.00105818,0.00105818
81,6869.41,0.93488,0.76275,1.10619,0,0,0,0,5.94,9.04007,6.01115,0.00096396,0.00096396,0.00096396
82,6993.58,0.92735,0.75065,1.12196,0,0,0,0,5.95424,9.00991,6.02854,0.000873733,0.000873733,0.000873733
83,7113.89,0.95926,0.76845,1.13809,0,0,0,0,5.95194,9.02778,6.00219,0.000787582,0.000787582,0.000787582
84,7236.43,0.89232,0.73951,1.08149,0,0,0,0,5.94784,9.03864,5.97777,0.000705594,0.000705594,0.000705594
85,7357.77,0.99741,0.80128,1.14645,0,0,0,0,5.93807,9.0534,5.97011,0.000627848,0.000627848,0.000627848
86,7473.18,0.8578,0.76593,1.10047,0,0,0,0,5.94287,8.97825,6.02582,0.000554422,0.000554422,0.000554422
87,7564.33,0.9976,0.82921,1.16064,0,0,0,0,5.94746,8.92586,6.0516,0.000485389,0.000485389,0.000485389
88,7624.33,0.9163,0.76198,1.14118,0,0,0,0,5.94068,8.89354,6.04369,0.000420816,0.000420816,0.000420816
89,7684.56,0.76845,0.68102,1.02277,0,0,0,0,5.93656,8.86596,6.0314,0.000360766,0.000360766,0.000360766
90,7745.16,0.8319,0.72579,1.10285,0,0,0,0,5.92844,8.81931,6.0197,0.000305301,0.000305301,0.000305301
91,7822.6,0.88749,0.7065,1.1386,0,0,0,0,5.91313,8.8159,5.98361,0.000254473,0.000254473,0.000254473
92,7900.41,0.92802,0.75833,1.16054,0,0,0,0,5.90362,8.80041,5.97225,0.000208333,0.000208333,0.000208333
93,7960.48,0.81365,0.66897,1.06041,0,0,0,0,5.89863,8.79184,5.97633,0.000166927,0.000166927,0.000166927
94,8020.56,0.78254,0.65121,1.06347,0,0,0,0,5.89018,8.787,5.97201,0.000130296,0.000130296,0.000130296
95,8080.82,0.89027,0.69915,1.11946,0,0,0,0,5.89333,8.77974,5.99753,9.84752e-05,9.84752e-05,9.84752e-05
96,8161.29,0.75598,0.73076,1.00224,0,0,0,0,5.89255,8.79053,6.0024,7.14967e-05,7.14967e-05,7.14967e-05
97,8272.97,0.77564,0.97109,0.98525,0,0,0,0,5.88952,8.78511,5.99661,4.93871e-05,4.93871e-05,4.93871e-05
98,8388.59,0.85468,0.67992,1.08454,0,0,0,0,5.88552,8.80056,5.99755,3.2168e-05,3.2168e-05,3.2168e-05
99,8489.4,0.8486,0.68103,1.09058,0,0,0,0,5.88969,8.79142,6.0129,1.98565e-05,1.98565e-05,1.98565e-05
100,8557.27,0.93996,0.78477,1.14365,0,0,0,0,5.88654,8.79932,6.00171,1.24647e-05,1.24647e-05,1.24647e-05
